id,title,description,link,image_link,availability,price,brand,condition,gtin,mpn,item_group_id
7194,Bremen Polsterbett Mink Lederoptik 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil aus nerzfarbenem Kunstleder und einer Holzstruktur im dunklen Walnusston. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Holz mit braunem, rutschfestem Stoffbezug. Die Kunstlederpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/bremen-upholstered-bed-mink-leatherette-180x200?variant_sku=7194,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121549,in_stock,2210.00 EUR,Ángel Cerdá S.L.,new,,7194,bremen-upholstered-bed-mink-leatherette-180x200
7211,Dortmund Polsterbett Stoff Blaugrau 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus hellblaugrauem Stoff sowie Beinen aus abgedunkeltem, poliertem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Stoffpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/dortmund-upholstered-bed-fabric-blue-grey-180x200?variant_sku=7211,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-hauptansicht.jpg?v=1784121549,in_stock,2110.00 EUR,Ángel Cerdá S.L.,new,8435631041962,7211,dortmund-upholstered-bed-fabric-blue-grey-180x200
7174,Hamburg Polsterbett Kunstleder Braun 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil aus offwhite Stoff und einer Struktur aus braunem Kunstleder sowie Beinen aus schwarzem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Capitonnée-Polsterung verleiht diesem Bett eine edle und exklusive Ausstrahlung für Ihren Schlafbereich.",https://www.maisondecocon.com/products/hamburg-upholstered-bed-leatherette-brown-180x200?variant_sku=7174,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht.jpg?v=1784121549,in_stock,1740.00 EUR,Ángel Cerdá S.L.,new,8435631033530,7174,hamburg-upholstered-bed-leatherette-brown-180x200
7156,Berlin Polsterbett Stoff Hellgrau 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus hellgrauem Stoff sowie Beinen aus abgedunkeltem, poliertem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Stoffpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/berlin-upholstered-bed-fabric-light-grey-180x200?variant_sku=7156,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784121549,in_stock,1980.00 EUR,Ángel Cerdá S.L.,new,8435631028826,7156,berlin-upholstered-bed-fabric-light-grey-180x200
7160,München Polsterbett Stoff Hellgrau 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus hellgrauem Stoff sowie Beinen aus schwarz epoxy-lackiertem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Stoffpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/munich-upholstered-bed-fabric-light-grey-180x200?variant_sku=7160,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-main.jpg?v=1768675563,in_stock,1190.00 EUR,Ángel Cerdá S.L.,new,8435631028864,7160,munich-upholstered-bed-fabric-light-grey-180x200
7131,Saarland Kopfkissen aus viskoelastischem Memory-Schaum – Lavendelduft | 75×35×15 cm,"Das Saarland Kissen kombiniert einen perforierten viskoelastischen Kern mit einem lavendelduftenden Bezug für stützenden, atmungsaktiven Komfort. Es passt sich Kopf und Nacken an und bleibt die ganze Nacht angenehm kühl – eine durchdachte Wahl für erholsamen, aromatischen Schlaf.",https://www.maisondecocon.com/products/saarland-premium-visco-kopfkissen?variant_sku=7131,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen.jpg?v=1768675591,in_stock,60.00 EUR,Ángel Cerdá S.L.,new,,7131,saarland-premium-visco-kopfkissen
7218,Nürnberg Polsterbett Kunstleder Mink 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus minkfarbenem Kunstleder sowie Holzbeinen in Walnuss-Optik. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Kunstlederpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/nuremberg-upholstered-bed-leatherette-mink-180x200?variant_sku=7218,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121655,in_stock,2930.00 EUR,Ángel Cerdá S.L.,new,8435631043638,7218,nuremberg-upholstered-bed-leatherette-mink-180x200
7155,Köln Polsterbett Stoff Warmgrau 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus grauem Stoff sowie Holzbeinen in Wenge-Optik. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Stoffpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/cologne-upholstered-bed-fabric-warm-grey-180x200?variant_sku=7155,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-hauptansicht.jpg?v=1784121655,in_stock,2380.00 EUR,Ángel Cerdá S.L.,new,8435631028819,7155,cologne-upholstered-bed-fabric-warm-grey-180x200
7157,Düsseldorf Polsterbett Kunstleder Creme 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus creme-farbenem Kunstleder sowie Beinen aus schwarzem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Kunstlederpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/duesseldorf-upholstered-bed-leatherette-cream-180x200?variant_sku=7157,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-main.jpg?v=1768675633,in_stock,1650.00 EUR,Ángel Cerdá S.L.,new,8435631028833,7157,duesseldorf-upholstered-bed-leatherette-cream-180x200
7161,Augsburg Polsterbett Stoff Hellgrau 180×200,"Doppelbett in modernem Design mit einem charakteristischen Kopfteil und Rahmen aus hellgrauem Stoff sowie Beinen aus schwarz epoxy-lackiertem Edelstahl. Ein zentrales Element für Ihr Schlafzimmer, das eine elegante und einladende Atmosphäre schafft. Inklusive eines komfortablen Lattenrosts aus Kiefernholz. Die Stoffpolsterung dieses Bettes setzt feine Akzente und bringt Wärme sowie zeitlosen Stil in Ihren Schlafbereich.",https://www.maisondecocon.com/products/augsburg-upholstered-bed-fabric-light-grey-180x200?variant_sku=7161,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784122205,in_stock,2190.00 EUR,Ángel Cerdá S.L.,new,8435631028871,7161,augsburg-upholstered-bed-fabric-light-grey-180x200
