id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,gtin,mpn,item_group_id,color,size,material
7194,Polsterbett Bremen – Similicuir Mink 180×200,"Lit double au design moderne doté d'une tête de lit originale en similicuir couleur vison et d'une structure en bois teinte noyer foncé. Une pièce maîtresse pour votre chambre, apportant une atmosphère élégante et chaleureuse. Comprend un sommier confortable en bois recouvert d'un tissu antidérapant marron. Le revêtement en similicuir de ce lit devient l'élément central de votre pièce, apportant douceur et style à votre espace repos.",https://www.maisondecocon.com/fr/products/lit-rembourre-bremen-similicuir-mink-180x200?variant_sku=7194,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2210.00 EUR,Ángel Cerdá S.L.,new,,7194,bremen-upholstered-bed-mink-leatherette-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Wood in dark walnut colour legs
7211,Lit capitonné Dortmund en tissu bleu-gris 180×200,"La tête de lit et la structure du Dortmund sont recouvertes d'un tissu gris-bleuté clair — une teinte fraîche et polyvalente qui s'accorde aussi bien avec du bois chaud qu'avec un linge de lit blanc immaculé. Les pieds en acier inoxydable poli assombri lui apportent une touche légèrement industrielle, sans jamais tomber dans le froid ou le clinique. Le sommier en bois de pin qui l'accompagne est conçu pour un usage quotidien, et avec ses 180×200 cm, il s'adapte à la plupart des chambres doubles sans en surcharger l'espace.",https://www.maisondecocon.com/fr/products/lit-capitonne-dortmund-tissu-bleu-gris-180x200?variant_sku=7211,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2110.00 EUR,Ángel Cerdá S.L.,new,8435631041962,7211,dortmund-upholstered-bed-fabric-blue-grey-180x200,,,Fabric headboard (100% Polyester); Darkened polished stainless steel legs
7174,Lit capitonné Hamburg en similicuir marron 180×200,"Lit double au design moderne doté d'une tête de lit originale en tissu écru et d'une structure en similicuir marron, complété par des pieds en acier inoxydable noir. Une pièce maîtresse pour votre chambre, apportant une atmosphère élégante et chaleureuse. Comprend un sommier confortable en bois de pin. Son garnissage capitonné lui confère cette allure distinctive et exclusive recherchée pour votre espace repos.",https://www.maisondecocon.com/fr/products/lit-capitonne-hamburg-similicuir-marron-180x200?variant_sku=7174,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1740.00 EUR,Ángel Cerdá S.L.,new,8435631033530,7174,hamburg-upholstered-bed-leatherette-brown-180x200,,,Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Black stainless steel legs
7156,Lit capitonné Berlin en tissu gris clair 180×200,"Le tissu gris clair habille entièrement la tête de lit et la structure du Berlin — une teinte neutre qui paraît apaisante plutôt que fade, et qui s'accorde aussi bien avec des couleurs discrètes qu'avec des touches plus affirmées dans le reste de la pièce. Les pieds en acier inoxydable poli assombri apportent juste assez de contraste pour que la silhouette ne se fonde pas dans le mur. En dessous, un sommier en bois de pin accueille le matelas dans un format standard de 180×200 cm — aucune surprise au montage, aucune proportion inhabituelle à anticiper.",https://www.maisondecocon.com/fr/products/lit-capitonne-berlin-tissu-gris-clair-180x200?variant_sku=7156,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1980.00 EUR,Ángel Cerdá S.L.,new,8435631028826,7156,berlin-upholstered-bed-fabric-light-grey-180x200,,,Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Darkened polished stainless steel legs
7160,Lit capitonné Munich en tissu gris clair 180×200,"Le Munich reprend le même tissu gris clair que ses homologues de la gamme, mais opte pour des pieds en acier inoxydable peint en époxy noir plutôt qu'en métal poli — un rendu mat et peu réfléchissant, idéal pour les pièces où l'on préfère que la structure du lit ne capte pas la lumière. Un sommier en bois de pin soutient le matelas, au format 180×200 cm.",https://www.maisondecocon.com/fr/products/lit-capitonne-munich-tissu-gris-clair-180x200?variant_sku=7160,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-main.jpg?v=1768675563,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-top.jpg?v=1768675568,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front.jpg?v=1768675574,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-back.jpg?v=1768675575,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side.jpg?v=1768675578,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-frame.jpg?v=1768675579,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/munich-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1190.00 EUR,Ángel Cerdá S.L.,new,8435631028864,7160,munich-upholstered-bed-fabric-light-grey-180x200,,,"Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs"
7131,Oreiller Saarland en mousse à mémoire de forme viscoélastique – Parfum lavande | 75×35×15 cm,"L'oreiller Saarland associe un cœur viscoélastique perforé à une housse parfumée à la lavande pour un confort à la fois soutenant et respirant. Conçu pour épouser la forme de la tête et de la nuque tout en restant frais toute la nuit, il constitue un choix réfléchi pour des nuits reposantes et parfumées.",https://www.maisondecocon.com/fr/products/saarland-oreiller-viscoelastique-lavande-75x35x15?variant_sku=7131,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen.jpg?v=1768675591,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen-mit-verpackungsbox.jpg?v=1768675593,in_stock,60.00 EUR,Ángel Cerdá S.L.,new,,7131,saarland-premium-visco-kopfkissen,,,"White, lavender-scented cover"
7218,Lit capitonné Nuremberg en similicuir mink 180×200,"Le similicuir couleur vison recouvre la tête de lit et la structure du Nuremberg, avec des pieds en bois teinte noyer assortie plutôt que les pieds en acier utilisés ailleurs dans la gamme — l'ensemble reste ainsi dans une même famille de teintes chaudes, sans contraste entre tissu et métal. Sommier à lattes en bois de pin, au format 180×200 cm.",https://www.maisondecocon.com/fr/products/lit-capitonne-nuremberg-similicuir-mink-180x200?variant_sku=7218,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121655,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-3.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2930.00 EUR,Ángel Cerdá S.L.,new,8435631043638,7218,nuremberg-upholstered-bed-leatherette-mink-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Walnut coloured wood legs
7155,Lit capitonné Cologne en tissu gris chaud 180×200,"Les pieds du Cologne sont en bois teinte wengé plutôt qu'en acier comme sur plusieurs autres lits de la collection — une teinte profonde, presque noire, qui ancre la tête de lit et la structure en tissu gris dans un esprit plus chaleureux et plus traditionnel. Un choix pertinent pour les chambres déjà pensées autour de meubles en bois plutôt que d'accents métalliques. Le sommier est en bois de pin, au format 180×200 cm.",https://www.maisondecocon.com/fr/products/lit-capitonne-cologne-tissu-gris-chaud-180x200?variant_sku=7155,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-hauptansicht.jpg?v=1784121655,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht-2.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-detailansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-seitenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-rahmenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2380.00 EUR,Ángel Cerdá S.L.,new,8435631028819,7155,cologne-upholstered-bed-fabric-warm-grey-180x200,,,Fabric headboard (100% Polyester); Wood in wenge colour legs
7157,Lit capitonné Düsseldorf en similicuir crème 180×200,"Le similicuir crème enveloppe la tête de lit et la structure du Düsseldorf, lui conférant une surface plus claire et plus réfléchissante que les lits en tissu de la gamme — plus facile à essuyer aussi, un vrai atout si la chambre sert également de chambre d'amis. Les pieds en acier inoxydable noir évitent que l'ensemble ne paraisse trop pâle. Sommier en bois de pin inclus, au format 180×200 cm.",https://www.maisondecocon.com/fr/products/lit-capitonne-dusseldorf-similicuir-creme-180x200?variant_sku=7157,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-main.jpg?v=1768675633,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-top.jpg?v=1768675637,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front-02.jpg?v=1768675639,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front.jpg?v=1768675641,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-detail.jpg?v=1768675642,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-side.jpg?v=1768675644,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-back.jpg?v=1768675646,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-frame.jpg?v=1768675647,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/duesseldorf-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1650.00 EUR,Ángel Cerdá S.L.,new,8435631028833,7157,duesseldorf-upholstered-bed-leatherette-cream-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Black stainless steel legs
7161,Lit capitonné Augsburg en tissu gris clair 180×200,"L'Augsburg partage le même tissu gris clair et les mêmes pieds en acier inoxydable peint en époxy noir que le Munich — les mêmes matériaux, sur le même sommier en bois de pin au format 180×200 cm. Si vous hésitez entre les deux, la différence tient surtout à la couture de la tête de lit et aux proportions plutôt qu'aux matériaux : choisissez selon la silhouette qui convient le mieux à votre pièce. Revêtement en tissu sur l'ensemble du lit, facile à entretenir d'un simple coup d'aspirateur ou de brosse.",https://www.maisondecocon.com/fr/products/lit-capitonne-augsburg-tissu-gris-clair-180x200?variant_sku=7161,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784122205,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2190.00 EUR,Ángel Cerdá S.L.,new,8435631028871,7161,augsburg-upholstered-bed-fabric-light-grey-180x200,,,"Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs"
