id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	gtin	mpn	item_group_id	color	size	material	shipping_label
M12602207VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M12602207VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	239.95 EUR	Coco & Cici	new	8721184401835	M12602207VS	tencel-twill-duvet-cover-white		Pre-order: 260x220 + 2 pillowcases 60x70 (available October 5)	100% Tencel™ Lyocell, Twill weave	std_10
M12002207VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M12002207VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	189.95 EUR	Coco & Cici	new	8721184401811	M12002207VS	tencel-twill-duvet-cover-white		Pre-order: 200x220 + 2 pillowcases 60x70 (available October 5)	100% Tencel™ Lyocell, Twill weave	std_10
M12402207VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M12402207VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	219.95 EUR	Coco & Cici	new	8721184401828	M12402207VS	tencel-twill-duvet-cover-white		Pre-order: 240x220 + 2 pillowcases 60x70 (available October 5)	100% Tencel™ Lyocell, Twill weave	std_10
M11402207VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M11402207VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	139.95 EUR	Coco & Cici	new	8721184403914	M11402207VS	tencel-twill-duvet-cover-white		Pre-order: 140x220 + 1 pillowcase 60x70 (available October 5)	100% Tencel™ Lyocell, Twill weave	std_10
M11402007VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M11402007VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	129.95 EUR	Coco & Cici	new	8721184401781	M11402007VS	tencel-twill-duvet-cover-white		Pre-order: 140x200 + 1 pillowcase 60x70 (available October 5)	100% Tencel™ Lyocell, Twill weave	std_10
M12002007VS	Housse de couette en sergé Tencel™ - Blanche	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ blanche apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-white?variant_sku=M12002007VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Tencel_Twill_Duvet_Cover_in_White_styled_on_a_bed_with_a_neutral_headboard_and_sheer_curtains.png?v=1785835255	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-white-lifestyle-02.png?v=1785835240	in_stock	179.95 EUR	Coco & Cici	new	8721184401804	M12002007VS	tencel-twill-duvet-cover-white		200x200 + 2 pillowcases 60x70	100% Tencel™ Lyocell, Twill weave	std_10
12602207	Housse de couette en TENCEL™ Sateen, rose Terra	Réveillez-vous comme si vous étiez encore en vacances. Notre housse de couette en satin de Tencel™ couleur « Terra Pink » apporte à votre chambre une douceur soyeuse et lumineuse, avec un éclat naturel qui s'adoucit magnifiquement au fil des utilisations.	https://www.maisondecocon.com/fr/products/tencel-sateen-duvet-cover-terra-pink?variant_sku=12602207	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-folded-01.jpg?v=1785849687	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-styled-01.jpg?v=1785849678,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-lifestyle-01.jpg?v=1785849669,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-texture-01.jpg?v=1785849697,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-detail-01.jpg?v=1785849709,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-lifestyle-02.jpg?v=1785849717,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-duvet-cover-terra-pink-detail-tag.jpg?v=1785849728	in_stock	269.95 EUR	Coco & Cici	new	7423603046078	12602207	tencel-sateen-duvet-cover-terra-pink			100% Tencel™ Lyocell, Sateen weave	std_10
M265652	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M265652	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	32.95 EUR	Coco & Cici	new	8721184401736	M265652	tencel-twill-pillowcase-beige		1 pillowcase 65x65	100% Tencel™ Lyocell	std_10
M250602	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M250602	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	29.95 EUR	Coco & Cici	new	6097749117179	M250602	tencel-twill-pillowcase-beige		1 pillowcase 50x60	100% Tencel™ Lyocell	std_10
M260702	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M260702	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	32.95 EUR	Coco & Cici	new	6097749265214	M260702	tencel-twill-pillowcase-beige		1 pillowcase 60x70	100% Tencel™ Lyocell	std_10
