id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,gtin,mpn,item_group_id,color,size,material
7194,Bremen Polsterbett Imitatleer Mink 180×200,"Modern tweepersoons Polsterbett met een karakteristiek hoofdbord van nertsfarbig imitatleer en een houten structuur in donker walnoot. Een bepalend element voor uw slaapkamer dat een elegante en behaaglijke sfeer creëert. Het bed is voorzien van een comfortabele houten bedbodem, bekleed met een bruine antislipstof. De imitatlederen bekleding vormt het middelpunt van uw interieur en brengt warmte en verfijning in uw slaapruimte.",https://www.maisondecocon.com/nl/products/bremen-upholstered-bed-mink-leatherette-180x200?variant_sku=7194,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2210.00 EUR,Ángel Cerdá S.L.,new,,7194,bremen-upholstered-bed-mink-leatherette-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Wood in dark walnut colour legs
7211,Dortmund Gepolsterd Bed Stof Blauwgrijs 180×200,"Het hoofdeinde en frame van de Dortmund zijn bekleed met een licht blauwgrijze stof — een koele, veelzijdige tint die zowel bij warm hout als bij smetteloos wit beddengoed past. De poten van donker gepolijst roestvrij staal geven het geheel een licht industriële uitstraling, zonder kil of klinisch aan te voelen. De grenenhouten lattenbodem eronder is gemaakt voor dagelijks gebruik en past met zijn 180×200 cm in de meeste tweepersoonsslaapkamers zonder de ruimte te overheersen.",https://www.maisondecocon.com/nl/products/dortmund-upholstered-bed-fabric-blue-grey-180x200?variant_sku=7211,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2110.00 EUR,Ángel Cerdá S.L.,new,8435631041962,7211,dortmund-upholstered-bed-fabric-blue-grey-180x200,,,Fabric headboard (100% Polyester); Darkened polished stainless steel legs
7174,Hamburg Gepolsterd Bed Kunstleer Bruin 180×200,"Tweepersoonsbed met een modern ontwerp, voorzien van een karakteristiek hoofdeinde van gebroken witte stof en een structuur van bruin kunstleer, en poten van zwart roestvrij staal. Een sleutelstuk voor uw slaapkamer dat zorgt voor een elegante en uitnodigende sfeer. Inclusief een comfortabele lattenbodem van grenenhout. De gecapitonneerde bekleding geeft dit bed die kenmerkende en exclusieve uitstraling waar u naar op zoek bent.",https://www.maisondecocon.com/nl/products/hamburg-upholstered-bed-leatherette-brown-180x200?variant_sku=7174,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1740.00 EUR,Ángel Cerdá S.L.,new,8435631033530,7174,hamburg-upholstered-bed-leatherette-brown-180x200,,,Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Black stainless steel legs
7156,Berlin Gepolsterd Bed Stof Lichtgrijs 180×200,"Lichtgrijze stof bedekt het hoofdeinde en frame van de Berlin volledig — een neutrale tint die rustig aanvoelt in plaats van saai, en die zowel bij ingetogen als bij opvallendere accentkleuren in de rest van de kamer past. De poten van donker gepolijst roestvrij staal zorgen voor net genoeg contrast om te voorkomen dat de silhouet in de muur verdwijnt. Daaronder draagt een grenenhouten lattenbodem de matras in het standaardformaat 180×200 cm — geen verrassingen bij de montage, geen ongebruikelijke afmetingen om rekening mee te houden.",https://www.maisondecocon.com/nl/products/berlin-upholstered-bed-fabric-light-grey-180x200?variant_sku=7156,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784121549,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1980.00 EUR,Ángel Cerdá S.L.,new,8435631028826,7156,berlin-upholstered-bed-fabric-light-grey-180x200,,,Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Darkened polished stainless steel legs
7160,Munich Gepolsterd Bed Stof Lichtgrijs 180×200,"De Munich kiest voor dezelfde lichtgrijze stof als de andere bedden in de reeks, maar krijgt poten van zwart epoxy-gelakt roestvrij staal in plaats van gepolijst metaal — een matte, weinig reflecterende afwerking, ideaal voor kamers waar u liever niet heeft dat het bedframe het licht vangt. Een grenenhouten lattenbodem ondersteunt de matras, in het formaat 180×200 cm.",https://www.maisondecocon.com/nl/products/munich-upholstered-bed-fabric-light-grey-180x200?variant_sku=7160,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-main.jpg?v=1768675563,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-top.jpg?v=1768675568,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front.jpg?v=1768675574,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-back.jpg?v=1768675575,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side.jpg?v=1768675578,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-frame.jpg?v=1768675579,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/munich-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1190.00 EUR,Ángel Cerdá S.L.,new,8435631028864,7160,munich-upholstered-bed-fabric-light-grey-180x200,,,"Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs"
7131,Saarland Traagschuim Hoofdkussen – Lavendelgeur | 75×35×15 cm,"Het Saarland kussen combineert een geperforeerde traagschuimkern met een lavendelgeurige hoes voor ondersteunend, ademend comfort. Het volgt de vorm van hoofd en nek en blijft de hele nacht aangenaam koel – een doordachte keuze voor rustgevende, geurige nachten.",https://www.maisondecocon.com/nl/products/saarland-premium-visco-kopfkissen?variant_sku=7131,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen.jpg?v=1768675591,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen-mit-verpackungsbox.jpg?v=1768675593,in_stock,60.00 EUR,Ángel Cerdá S.L.,new,,7131,saarland-premium-visco-kopfkissen,,,"White, lavender-scented cover"
7218,Nuremberg Gepolsterd Bed Kunstleer Mink 180×200,"Minkkleurig kunstleer bedekt het hoofdeinde en frame van de Nuremberg, met houten poten in een bijpassende walnoottint in plaats van de stalen poten die elders in de reeks worden gebruikt — het geheel blijft zo binnen dezelfde warme kleurfamilie, zonder contrast tussen stof en metaal. Lattenbodem van grenenhout, geschikt voor een matras van 180×200 cm.",https://www.maisondecocon.com/nl/products/nuremberg-upholstered-bed-leatherette-mink-180x200?variant_sku=7218,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121655,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-3.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2930.00 EUR,Ángel Cerdá S.L.,new,8435631043638,7218,nuremberg-upholstered-bed-leatherette-mink-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Walnut coloured wood legs
7155,Cologne Gepolsterd Bed Stof Warmgrijs 180×200,"De poten van de Cologne zijn van wengékleurig hout in plaats van het staal dat bij verschillende andere bedden in de collectie wordt gebruikt — een diepe, bijna zwarte tint die het hoofdeinde en frame van grijze stof verankert in iets warmers en traditioneler. Een goede keuze voor slaapkamers die al zijn ingericht rond houten meubels in plaats van metalen accenten. De lattenbodem is van grenenhout, in het formaat 180×200 cm.",https://www.maisondecocon.com/nl/products/cologne-upholstered-bed-fabric-warm-grey-180x200?variant_sku=7155,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-hauptansicht.jpg?v=1784121655,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht-2.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-detailansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-seitenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-rahmenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2380.00 EUR,Ángel Cerdá S.L.,new,8435631028819,7155,cologne-upholstered-bed-fabric-warm-grey-180x200,,,Fabric headboard (100% Polyester); Wood in wenge colour legs
7157,Düsseldorf Gepolsterd Bed Kunstleer Crème 180×200,"Crèmekleurig kunstleer omhult het hoofdeinde en frame van de Düsseldorf, wat zorgt voor een lichter, meer reflecterend oppervlak dan de stoffen bedden in de reeks — ook makkelijker schoon te vegen, handig als de slaapkamer ook als logeerkamer dienstdoet. De poten van zwart roestvrij staal voorkomen dat het geheel te bleek oogt. Inclusief grenenhouten lattenbodem, in het formaat 180×200 cm.",https://www.maisondecocon.com/nl/products/duesseldorf-upholstered-bed-leatherette-cream-180x200?variant_sku=7157,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-main.jpg?v=1768675633,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-top.jpg?v=1768675637,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front-02.jpg?v=1768675639,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front.jpg?v=1768675641,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-detail.jpg?v=1768675642,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-side.jpg?v=1768675644,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-back.jpg?v=1768675646,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-frame.jpg?v=1768675647,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/duesseldorf-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,1650.00 EUR,Ángel Cerdá S.L.,new,8435631028833,7157,duesseldorf-upholstered-bed-leatherette-cream-180x200,,,Leatherette headboard (90% Vinyl and 10% Polyester); Black stainless steel legs
7161,Augsburg Gepolsterd Bed Stof Lichtgrijs 180×200,"De Augsburg deelt dezelfde lichtgrijze stof en dezelfde poten van zwart epoxy-gelakt roestvrij staal met de Munich — dezelfde materialen, op dezelfde grenenhouten lattenbodem in het formaat 180×200 cm. Twijfelt u tussen de twee? Het verschil zit vooral in de stiksels van het hoofdeinde en de verhoudingen, niet in de materialen — kies op basis van welke vorm het beste bij uw kamer past. Volledig bekleed met stof, eenvoudig fris te houden met een lichte stofzuigbeurt of borstel.",https://www.maisondecocon.com/nl/products/augsburg-upholstered-bed-fabric-light-grey-180x200?variant_sku=7161,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784122205,"https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-massskizze.jpg?v=1784122205",in_stock,2190.00 EUR,Ángel Cerdá S.L.,new,8435631028871,7161,augsburg-upholstered-bed-fabric-light-grey-180x200,,,"Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs"
