id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	gtin	mpn	item_group_id	color	size	material
7194	Bremen Upholstered Bed Mink Leatherette 180×200	Modern design double bed with an original headboard made of mink-coloured leatherette and a dark walnut-coloured wooden structure. A key piece for your bedroom with which you will bring an elegant and cosy style.It includes a comfortable bed base made of wood and upholstered in brown non-slip fabric. The leatherette upholstery of this bed will become the protagonist of your bedroom, bringing warmth and style to your sleeping area.	https://www.maisondecocon.com/en/products/bremen-upholstered-bed-mink-leatherette-180x200?variant_sku=7194	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121549	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bremen-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	2210.00 EUR	Ángel Cerdá S.L.	new		7194	bremen-upholstered-bed-mink-leatherette-180x200			Leatherette headboard (90% Vinyl and 10% Polyester); Wood in dark walnut colour legs
7211	Dortmund Upholstered Bed Fabric Blue-Grey 180×200	The Dortmund's headboard and frame are upholstered in a light bluish-grey fabric — a cool, versatile tone that sits comfortably alongside both warm wood and crisp white bedding. Darkened, polished stainless steel legs give it a slightly industrial edge without tipping into cold or clinical. The pine multi-bed base underneath is built for daily use, and at 180×200 cm it suits most double-bedroom layouts without overwhelming the room.	https://www.maisondecocon.com/en/products/dortmund-upholstered-bed-fabric-blue-grey-180x200?variant_sku=7211	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-hauptansicht.jpg?v=1784121549	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-draufsicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-seitenansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-stoff-blaugrau-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/dortmund-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	2110.00 EUR	Ángel Cerdá S.L.	new	8435631041962	7211	dortmund-upholstered-bed-fabric-blue-grey-180x200			Fabric headboard (100% Polyester); Darkened polished stainless steel legs
7174	Hamburg Upholstered Bed Leatherette Brown 180×200	Modern design double bed with an original headboard made of off-white fabric and brown leatherette structure, and black stainless steel legs. A key piece for your bedroom with which you will add an elegant and cosy style.It includes a comfortable multi-bed base made of pine wood. Its Capitonné upholstery gives it that distinctive and exclusive look you are looking for in your bedroom.	https://www.maisondecocon.com/en/products/hamburg-upholstered-bed-leatherette-brown-180x200?variant_sku=7174	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht.jpg?v=1784121549	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-hauptansicht-2.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-detailansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rueckansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-seitenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-stoff-braun-rahmenansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/hamburg-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	1740.00 EUR	Ángel Cerdá S.L.	new	8435631033530	7174	hamburg-upholstered-bed-leatherette-brown-180x200			Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Black stainless steel legs
7156	Berlin Upholstered Bed Fabric Light Grey 180×200	Light grey fabric covers the Berlin's headboard and frame in full — a neutral that reads calm rather than plain, and pairs equally well with muted or bolder accent colours in the rest of the room. The darkened, polished stainless steel legs add just enough contrast to keep the silhouette from disappearing into the wall. Underneath, a pine multi-bed base carries the mattress at a standard 180×200 cm — no assembly surprises, no unusual proportions to plan around.	https://www.maisondecocon.com/en/products/berlin-upholstered-bed-fabric-light-grey-180x200?variant_sku=7156	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784121549	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784121549,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/berlin-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	1980.00 EUR	Ángel Cerdá S.L.	new	8435631028826	7156	berlin-upholstered-bed-fabric-light-grey-180x200			Fabric headboard (100% Polyester / 90% Vinyl and 10% Polyester); Darkened polished stainless steel legs
7160	Munich Upholstered Bed Fabric Light Grey 180×200	The Munich takes the same light grey fabric approach as its siblings in the range, but finishes the legs in black epoxy-painted stainless steel rather than polished metal — a matte, low-glare look that suits rooms where you'd rather the bed frame didn't catch the light. A pine multi-bed base supports the mattress, sized for 180×200 cm.	https://www.maisondecocon.com/en/products/munich-upholstered-bed-fabric-light-grey-180x200?variant_sku=7160	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-main.jpg?v=1768675563	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-top.jpg?v=1768675568,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side-02.jpg?v=1768675571,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-front.jpg?v=1768675574,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-back.jpg?v=1768675575,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-side.jpg?v=1768675578,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Muenchen-180x200-Polsterbett-Kunstleder-LINA-color-hellgrau-frame.jpg?v=1768675579,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/munich-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	1190.00 EUR	Ángel Cerdá S.L.	new	8435631028864	7160	munich-upholstered-bed-fabric-light-grey-180x200			Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs
7131	Saarland Viscoelastic Memory Foam Pillow – Lavender Scented | 75×35×15 cm	The Saarland pillow combines a perforated visco-elastic core with a lavender-scented cover for supportive, breathable comfort. Designed to contour to the head and neck while staying cool through the night, it's a considered choice for restful, aromatic sleep.	https://www.maisondecocon.com/en/products/saarland-premium-visco-kopfkissen?variant_sku=7131	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen.jpg?v=1768675591	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Saarland-Premium-Visco-Kopfkissen-mit-verpackungsbox.jpg?v=1768675593	in_stock	60.00 EUR	Ángel Cerdá S.L.	new		7131	saarland-premium-visco-kopfkissen			White, lavender-scented cover
7218	Nuremberg Upholstered Bed Leatherette Mink 180×200	Mink-coloured leatherette covers the Nuremberg's headboard and frame, with wooden legs finished in a matching walnut tone rather than the steel legs used elsewhere in the range — the whole piece stays in one warm colour family instead of contrasting fabric against metal. Pine multi-slat base, built for a 180×200 cm mattress.	https://www.maisondecocon.com/en/products/nuremberg-upholstered-bed-leatherette-mink-180x200?variant_sku=7218	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-hauptansicht.jpg?v=1784121655	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-detailansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-2.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-frontalansicht-3.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-seitenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rueckansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-kunstleder-mink-rahmenansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/nuremberg-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	2930.00 EUR	Ángel Cerdá S.L.	new	8435631043638	7218	nuremberg-upholstered-bed-leatherette-mink-180x200			Leatherette headboard (90% Vinyl and 10% Polyester); Walnut coloured wood legs
7155	Cologne Upholstered Bed Fabric Warm Grey 180×200	The Cologne's legs are wenge-coloured wood rather than the steel finishes used on several other beds in the collection — a deep, near-black tone that grounds the grey fabric headboard and frame in something warmer and more traditional. It's a fit for bedrooms already built around wood furniture rather than metal accents. The multi-bed base is pine, sized for a 180×200 cm mattress.	https://www.maisondecocon.com/en/products/cologne-upholstered-bed-fabric-warm-grey-180x200?variant_sku=7155	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-hauptansicht.jpg?v=1784121655	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-draufsicht.jpg?v=1784121655,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-frontalansicht-2.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-detailansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-seitenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-stoff-warmgrau-rahmenansicht.jpg?v=1784121656,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/cologne-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	2380.00 EUR	Ángel Cerdá S.L.	new	8435631028819	7155	cologne-upholstered-bed-fabric-warm-grey-180x200			Fabric headboard (100% Polyester); Wood in wenge colour legs
7157	Düsseldorf Upholstered Bed Leatherette Cream 180×200	Cream leatherette wraps the Düsseldorf's headboard and frame, giving it a lighter, more reflective surface than the fabric beds in the range — easier to wipe clean, too, which matters if the bedroom doubles as a guest room. Black stainless steel legs keep the overall look from tipping too pale. Pine multi-bed base included, built for a 180×200 cm mattress.	https://www.maisondecocon.com/en/products/duesseldorf-upholstered-bed-leatherette-cream-180x200?variant_sku=7157	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-main.jpg?v=1768675633	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-top.jpg?v=1768675637,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front-02.jpg?v=1768675639,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-front.jpg?v=1768675641,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-detail.jpg?v=1768675642,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-side.jpg?v=1768675644,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-back.jpg?v=1768675646,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/Duesseldorf-180x200-Polsterbett-Kunstleder-LENO-color-mink-frame.jpg?v=1768675647,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/duesseldorf-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	1650.00 EUR	Ángel Cerdá S.L.	new	8435631028833	7157	duesseldorf-upholstered-bed-leatherette-cream-180x200			Leatherette headboard (90% Vinyl and 10% Polyester); Black stainless steel legs
7161	Augsburg Upholstered Bed Fabric Light Grey 180×200	The Augsburg shares its light grey fabric and black epoxy-painted steel legs with the Munich — the same materials, built on the same 180×200 cm pine base. If you're comparing the two, the difference comes down to headboard stitching and proportions rather than materials, so pick based on which shape suits your room. Fabric upholstery throughout, easy to keep looking fresh with a light vacuum or brush.	https://www.maisondecocon.com/en/products/augsburg-upholstered-bed-fabric-light-grey-180x200?variant_sku=7161	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-hauptansicht.jpg?v=1784122205	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-draufsicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-frontalansicht-2.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-detailansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-seitenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rueckansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-stoff-hellgrau-rahmenansicht.jpg?v=1784122205,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/augsburg-polsterbett-180x200-massskizze.jpg?v=1784122205	in_stock	2190.00 EUR	Ángel Cerdá S.L.	new	8435631028871	7161	augsburg-upholstered-bed-fabric-light-grey-180x200			Fabric upholstery, 100% Polyester, with polyurethane foam padding (25 kg/m³); black epoxy-coated steel legs
