id,title,reason,category
4260240AS,Tencel™ Vier-Jahreszeiten-Bettdecke,availability out_of_stock,out_of_stock
M12402201,Bettbezug aus Tencel™-Twill – Pfirsich,availability out_of_stock,out_of_stock
M11402001,Bettbezug aus Tencel™-Twill – Pfirsich,availability out_of_stock,out_of_stock
M11402201,Bettbezug aus Tencel™-Twill – Pfirsich,availability out_of_stock,out_of_stock
4140220HS,Tencel™ Sommerbettdecke für die heißesten Tage,availability out_of_stock,out_of_stock
4140200HS,Tencel™ Sommerbettdecke für die heißesten Tage,availability out_of_stock,out_of_stock
4240220HS,Tencel™ Sommerbettdecke für die heißesten Tage,availability out_of_stock,out_of_stock
4200200HS,Tencel™ Sommerbettdecke für die heißesten Tage,availability out_of_stock,out_of_stock
B12402206VS,Eco Bamboo Bettbezug in der Farbe „Powder Peach“,availability out_of_stock,out_of_stock
TLB2020VS,Bettbezug aus Tencel™-Twill in Lavendelblau,availability out_of_stock,out_of_stock
TLB2022VS,Bettbezug aus Tencel™-Twill in Lavendelblau,availability out_of_stock,out_of_stock
TLB2422VS,Bettbezug aus Tencel™-Twill in Lavendelblau,availability out_of_stock,out_of_stock
B11402204,"Bettbezug aus Bambus, Ozeanblau",availability out_of_stock,out_of_stock
B11402004VS,"Bettbezug aus Bambus, Ozeanblau",availability out_of_stock,out_of_stock
TDR1420VS,Bettbezug aus Tencel™-Twill in der Farbe „Dusty Rose“,availability out_of_stock,out_of_stock
TDR2422VS,Bettbezug aus Tencel™-Twill in der Farbe „Dusty Rose“,availability out_of_stock,out_of_stock
TDR1422VS,Bettbezug aus Tencel™-Twill in der Farbe „Dusty Rose“,availability out_of_stock,out_of_stock
TDR2022VS,Bettbezug aus Tencel™-Twill in der Farbe „Dusty Rose“,availability out_of_stock,out_of_stock
SWS2020VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
SWS2622VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
SWS1420VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
SWS1422VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
SWS2022VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
SWS2422VS,"Bettbezug aus Tencel™-Satin, Farbe „White Sand“",availability out_of_stock,out_of_stock
M12602208VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
M11402008VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
M12002008VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
M11402208VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
M12402208VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
M12002208VS,"Bettbezug aus Tencel™-Twill, olivgrün",availability out_of_stock,out_of_stock
TOY2422VS,Bettbezug aus Tencel™-Twill in Ockergelb,availability out_of_stock,out_of_stock
2507024,"Kissenbezug aus Tencel™-Satin, Taupe",availability out_of_stock,out_of_stock
250607,Kissenbezug aus Tencel™-Satin in Terra Pink,availability out_of_stock,out_of_stock
260707,Kissenbezug aus Tencel™-Satin in Terra Pink,availability out_of_stock,out_of_stock
M250601,"Kissenbezug aus Tencel™-Twill, Farbe: Pfirsich",availability out_of_stock,out_of_stock
260703,"Kissenbezug aus Tencel™-Satin, grau-blau",availability out_of_stock,out_of_stock
B250603,"Kissenbezug aus Bambus, ockergelb",availability out_of_stock,out_of_stock
