sku,proposed_barcode,handle,vendor
0793002340662-copy,0793002340662,wool-throw-blanket-cool-mint-140-200,MoST Blankets
8720849141093,8720849141093,merino-wool-bedspread-sun-dust-200-220,MoST Blankets
8720849140577,8720849140577,wool-throw-blanket-chocolate-chip-140-200,MoST Blankets
8720849140553,8720849140553,wool-bed-blanket-hunter-140-200,MoST Blankets
0793002340693,0793002340693,wool-bed-blanket-misted-yellow-140-200,MoST Blankets
8720849140454-copy,8720849140454,merino-wool-bed-blanket-aegean-140-200,MoST Blankets
8720849141550,8720849141550,merino-cashmere-throw-blanket-silver-cloud-200-140,MoST Blankets
8720849140447-copy,8720849140447,merino-wool-bedspread-aegean-200-220,MoST Blankets
8720849140584,8720849140584,wool-bedspread-chocolate-chip-200x220,MoST Blankets
8720849140560,8720849140560,wool-bedspread-hunter-200-220,MoST Blankets
0793002340709,0793002340709,wool-bedspread-misted-yellow-200-220,MoST Blankets
