sku,value,handle,vendor,reason
9999998014050,9999998014050,1-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
9999999014050,9999999014050,1-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
5555558014050,5555558014050,1-person-bamboo-bedding-set-coco-white-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
5555559014050,5555559014050,1-person-bamboo-bedding-set-coco-white-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
4444448014050,4444448014050,1-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
4444449014050,4444449014050,1-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
8022025,8022025,bamboo-fitted-sheet-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
77777720026060,77777720026060,2-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
7777774020060,7777774020060,2-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
7777778024060,7777778024060,2-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
9999994020060,9999994020060,2-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
9999998024060,9999998024060,2-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
99999920026060,99999920026060,2-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
9999996020060,9999996020060,2-person-bamboo-bedding-set-coffee-brown-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
8888889014050,8888889014050,1-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
8888888014050,8888888014050,1-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666668014050,6666668014050,1-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666669014050,6666669014050,1-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
1111118014050,1111118014050,1-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
1111119014050,1111119014050,1-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
2222229014050,2222229014050,1-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
77777719014050,77777719014050,1-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666614020060,6666614020060,2-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666620026060,6666620026060,2-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666618024060,6666618024060,2-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
6666616020060,6666616020060,2-person-bamboo-bedding-set-sky-blue-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
4444414020060,4444414020060,2-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
4444416020060,4444416020060,2-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
4444418024060,4444418024060,2-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
3333314020060,3333314020060,2-person-bamboo-bedding-set-sage-green-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
3333316020060,3333316020060,2-person-bamboo-bedding-set-sage-green-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
3333200026060,3333200026060,2-person-bamboo-bedding-set-sage-green-400tc,Boomba Bamboo,SKU is not a valid GTIN (placeholder pattern or bad length) -- no barcode in Shopify
