sku,value,handle,vendor,reason
FCRINKSTRF1652,,crinkly-cotton-muslin-tetra-ecru,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1626,,crinkly-cotton-muslin-tetra-ecru,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1643,,crinkly-cotton-muslin-tetra-ecru,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1654,,crinkly-cotton-muslin-tetra-ecru,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1743,,crinkly-cotton-muslin-tetra-misty-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1754,,crinkly-cotton-muslin-tetra-misty-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1726,,crinkly-cotton-muslin-tetra-misty-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1752,,crinkly-cotton-muslin-tetra-misty-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1054,,crinkly-cotton-muslin-tetra-brick-red,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1154,,crinkly-cotton-muslin-tetra-sahara-pink,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF0654,,crinkly-cotton-muslin-tetra-petrol-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1554,,crinkly-cotton-muslin-ice-blue,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
SSATINDUO54,,duvet-satin-duo,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF1354,,crinkly-cotton-muslin-tetra-sage-green,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF0554,,crinkly-cotton-muslin-tetra-light-grey,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
STENCEL63,,tencel-pillow,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
STENCEL64,,tencel-pillow,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
STENCEL62,,tencel-pillow,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
FCRINKSTRF0454,,cotton-muslin-duvet-cover-beige,Casilin,"barcode null in Shopify; SKU is an internal alpha code, not a numeric GTIN candidate -- needs Casilin catalog/price-list lookup"
